"path","fileType","purpose","directBugs","securityRisks","consistencyIssues","deadUnusedPatterns","missingValidation","buildTestRelevance","needsModification","status","skipReason"
".codex\prompts\BOSSCAM_FAILURE_REPORT_TEMPLATE.md","Markdown doc","documentation/agent workflow","","","","not exhaustively proven","","not build critical","False","OK",""
".codex\prompts\BOSSCAM_SERPENT_CIRCLE_HEADER.md","Markdown doc","documentation/agent workflow","","","","not exhaustively proven","","not build critical","False","OK",""
".codex\SERPENT_CIRCLE_SKILL.md","Markdown doc","documentation/agent workflow","","","","not exhaustively proven","","not build critical","False","OK",""
".codex\SKILL.md","Markdown doc","documentation/agent workflow","","","","not exhaustively proven","","not build critical","False","OK",""
".github\ISSUE_TEMPLATE\serpent-circle-truth-gap.md","Markdown doc","documentation/agent workflow","","","","not exhaustively proven","","not build critical","False","OK",""
".github\pull_request_template.md","Markdown doc","repo metadata/config","","","","not exhaustively proven","","not build critical","False","OK",""
".gitignore","gitignore","repo metadata/config","","","","not exhaustively proven","","not build critical","False","OK",""
"AGENT_HANDOFF_SERPENT_CIRCLE.md","Markdown doc","documentation/agent workflow","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\5523w\__IPC\image-behavior-maps.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\5523w\__IPC\image-inventory.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\5523w\__IPC\image-writable-test-set.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\5523w\encode-shape-matrix-2026-04-20.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\5523w\encode-shape-summary-2026-04-20.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\5523w\live-image-targeted-semantic-2026-04-20-pass2.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\5523w\live-image-targeted-semantic-2026-04-20.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\5523w\live-image-targeted-summary-2026-04-20-pass2.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\audit\LOCAL_FILE_INVENTORY.csv","CSV artifact","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\audit\LOCAL_STATUS_BEFORE.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\audit\LOCAL_UNCOMMITTED_BACKUP.patch","patch","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\audit\LOCAL_UNTRACKED_BEFORE.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#IDXHDR","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#ITBITS","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#STRINGS","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#SYSTEM","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#TOPICS","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#URLSTR","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#URLTBL","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\#WINDOWS","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\$FIftiMain","unknown","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\chm_translate\raw\$OBJINST","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\$WWAssociativeLinks\Property","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\$WWKeywordLinks\BTree","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\$WWKeywordLinks\Data","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\$WWKeywordLinks\Map","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\$WWKeywordLinks\Property","unknown","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册.hhc","hhc","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册.hhk","hhk","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\104.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\119.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\内容简介\103.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\SDK信息\121.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\SDK初始化\115.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\SDK初始化\116.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\云台控制\云台控制操作\163.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\回放录像文件时的数据捕获\142.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\回放录像文件时的数据捕获\143.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\回放录像文件时的数据捕获\144.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\定义\145.htm","htm","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\定义\177.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\实时预览\129.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\实时预览\130.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\实时预览数据捕捉\132.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\实时预览数据捕捉\133.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\实时预览数据捕捉\134.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像下载\153.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像下载\154.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像回放时抓图\156.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件回放\138.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件回放\139.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件回放\140.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件回放\184.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件查找\180.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件查找\181.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\录像文件查找\182.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\报警接收\158.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\报警接收\159.htm","htm","audit artifact","","sensitive credential surface review","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\报警接收\160.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\217.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\初始化\188.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\初始化\189.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\chm_translate\raw\HISI客户端SDK手册\接口定义\文件播放\抓图\215.htm","htm","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
